empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
2,18,d8bf2f87cc329894c610360558e9220d,40.70539,-73.92976,Knickerbocker Ave & Thames St,2022-12-05T01:39:35.319000Z,2,True,1670198258,"['creditcard', 'key']",True,1,1,20,3773
9,10,cf98029721ab6d5a1ccf65cee9cebd1b,40.713811,-73.93515,Devoe St & Morgan Ave,2022-12-05T01:39:35.320000Z,1,True,1670204079,"['creditcard', 'key']",True,1,1,19,3772
3,27,d2ccf83ad960756b6f73c0b6acddb11c,40.706237,-73.933871,McKibbin St & Bogart St,2022-12-05T01:39:35.321000Z,1,True,1670201854,"['creditcard', 'key']",True,1,1,30,3771
5,16,010f92292461543f36314829cb02afac,40.702831,-73.9333,Central Ave & Flushing Ave,2022-12-05T01:39:35.321000Z,1,True,1670198477,"['creditcard', 'key']",True,1,1,21,3770
18,5,2923dae1f9c925711be47f55c0180aa3,40.700003,-73.92834,Central Ave & Starr Street,2022-12-05T01:39:35.323000Z,4,True,1670204085,"['creditcard', 'key']",True,1,1,23,3776
5,17,d0602c69b366b808ecc3936c206e04bb,40.704425,-73.92836,Knickerbocker Ave & George St,2022-12-05T01:39:35.325000Z,0,True,1670204260,"['creditcard', 'key']",True,1,1,23,3774
23,2,5b7746fc518ac94da102c0672b9e3184,40.7027,-73.92095,Irving Ave & DeKalb Ave,2022-12-05T01:39:35.327000Z,2,True,1670203169,"['creditcard', 'key']",True,1,1,27,3778
11,16,d840fae588435ad6c219db0d4c252447,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,2022-12-05T01:39:35.329000Z,0,True,1670203521,"['creditcard', 'key']",True,1,1,28,270
40,19,6e43cd37a571f8a9bff43fcea0b6d295,40.76500525,-73.95818491,1 Ave & E 68 St,2022-12-05T01:39:36.601000Z,1,True,1670204018,"['creditcard', 'key']",True,1,1,62,3141
18,23,5ba135e7eb13cb933f2fcaca980276b5,40.7612274,-73.96094022,1 Ave & E 62 St,2022-12-05T01:39:36.602000Z,0,True,1670203666,"['creditcard', 'key']",True,1,1,45,3142
29,8,91e510ea32dfbee99aa27395695b457d,40.77632142182271,-73.96427392959595,5 Ave & E 78 St,2022-12-05T01:39:36.603000Z,2,True,1670200991,"['creditcard', 'key']",True,1,1,47,3143
3,10,0c31a89981605645db5d73705b766bac,40.68650065,-73.96563307,Washington Ave & Greene Ave,2022-12-05T01:39:35.333000Z,3,True,1670204036,"['creditcard', 'key']",True,1,1,19,275
4,15,f3a68c3b4b6614f7c5c706b96c867386,40.69766564,-73.98476437,Concord St & Bridge St,2022-12-05T01:39:35.336000Z,3,True,1670204041,"['creditcard', 'key']",True,1,1,19,278
8,10,fe77d499d0064660a936aa00f1519bb2,40.72755146730012,-74.07106071710587,Glenwood Ave,2022-12-05T01:39:36.203000Z,2,True,1670184145,"['creditcard', 'key']",True,1,1,18,3677
1,24,0eb723b81edb20e3c37f880c08349b69,40.701403172577244,-73.98672670125961,Jay St & York St,2022-12-05T01:39:36.203000Z,1,True,1670199309,"['creditcard', 'key']",True,1,1,27,3674
11,12,b403bf73c64da4222ff782e461c685ea,40.7934337,-73.94945003,E 106 St & Madison Ave,2022-12-05T01:39:36.609000Z,0,True,1670201730,"['creditcard', 'key']",True,1,1,25,3387
22,2,7f71de48a1ae570569fa1246d05f5a7a,40.6787242,-73.99599099,Smith St & 3 St,2022-12-05T01:39:36.609000Z,0,True,1670202267,"['creditcard', 'key']",True,1,1,25,3384
17,8,d8cc1bee00e38a208fe6a86d56e1899c,40.804213,-73.96699104,Cathedral Pkwy & Broadway,2022-12-05T01:39:36.611000Z,2,True,1670203983,"['creditcard', 'key']",True,1,1,25,3383
39,13,41fe4253b2718d27817c0327887bf19a,40.6777287,-73.99364123,3 St & Hoyt St,2022-12-05T01:39:36.612000Z,0,True,1670200289,"['creditcard', 'key']",True,1,1,53,3381
7,51,3b6d288572e702d96fe3a28c150adc1b,40.75594159,-74.0021163,W 34 St & 11 Ave,2022-12-05T01:39:35.657000Z,1,True,1670202153,"['creditcard', 'key']",True,1,1,60,525
14,19,6563287f413683fd05df03545ae7dc07,40.74765947,-73.98490707,E 33 St & 5 Ave,2022-12-05T01:39:35.658000Z,16,True,1670203755,"['creditcard', 'key']",True,1,1,40,526
65,8,794d5d269c3cec97db767f747a12594f,40.75714758,-73.97207836,E 51 St & Lexington Ave,2022-12-05T01:39:35.659000Z,0,True,1670198042,"['creditcard', 'key']",True,1,1,75,522
15,16,80e56214df3108c1777ec61c3a79a63b,40.74290902,-73.97706058,2 Ave & E 31 St,2022-12-05T01:39:35.662000Z,1,True,1670204332,"['creditcard', 'key']",True,1,1,39,528
29,0,810be6dc6e1af5fd4e2c3853f9c5d7ed,40.6737236,-73.9631611,St Johns Pl & Washington Ave,2022-12-05T01:39:36.206000Z,0,True,1670199321,"['creditcard', 'key']",True,1,1,30,3580
26,1,a7638c15dde84c27b842458a7aa12d6a,40.6740123,-73.9671457,Underhill Ave & Lincoln Pl,2022-12-05T01:39:36.206000Z,1,True,1670203655,"['creditcard', 'key']",True,1,1,27,3581
24,2,b298d4e026b8cace01b5c031c9c0a8bd,40.6721683,-73.9609,Lincoln Pl & Classon Ave,2022-12-05T01:39:36.207000Z,2,True,1670200684,"['creditcard', 'key']",True,1,1,28,3582
