empty_slots,free_bikes,id,latitude,longitude,name_x,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid,lat_long,fsq_id,cat_id,category_name,categories,name_y,distance,longtitude,address,popularity,open_now,rating,rating_count,my_timestamp
24.0,25.0,a71ac277c068151817eea703b2286b83,40.76030096,-73.99884222,11 Ave & W 41 St,2022-12-05T01:39:36.959000Z,8.0,True,1670204304.0,"['creditcard', 'key']",True,1.0,1.0,55.0,478.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
42.0,13.0,91af89740b1c50290e92bae27bb25b99,40.8013434,-73.9711457439,Riverside Dr & W 104 St,2022-12-05T01:39:35.651000Z,8.0,True,1670204146.0,"['creditcard', 'key']",True,1.0,1.0,58.0,3331.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
5.0,18.0,2c17cfae12ac9bb921675bceb0c72184,40.67363551341504,-74.01195555925369,Dwight St & Van Dyke St,2022-12-05T01:39:35.652000Z,0.0,True,1670204203.0,"['creditcard', 'key']",True,1.0,1.0,23.0,3337.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
35.0,5.0,a7df126dc423385450b5a626993a1f1b,40.787801,-73.953559,E 97 St & Madison Ave,2022-12-05T01:39:35.653000Z,0.0,True,1670204140.0,"['creditcard', 'key']",True,1.0,1.0,41.0,3336.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
10.0,17.0,daa4b5e1cac4dfb931b7e85c44db3339,40.6772744,-73.98282002,Union St & 4 Ave,2022-12-05T01:39:35.653000Z,1.0,True,1670202306.0,"['creditcard', 'key']",True,1.0,1.0,28.0,3335.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
27.0,14.0,1b5365e00848878fbaa6cf71c5e231a9,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,2022-12-05T01:39:35.654000Z,9.0,True,1670204306.0,"['creditcard', 'key']",True,1.0,1.0,41.0,3339.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
21.0,8.0,e34bb133a7e5baf1452ce024717d6d7a,40.7862586,-73.94552579,2 Ave & E 99 St,2022-12-05T01:39:35.655000Z,2.0,True,1670203214.0,"['creditcard', 'key']",True,1.0,1.0,31.0,3338.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2.0,21.0,40e1522fdfd3337ac0a5cf5258751815,40.71019,-73.93734,Waterbury St & Stagg St,2022-12-05T01:39:36.899000Z,7.0,True,1670203533.0,"['creditcard', 'key']",True,1.0,1.0,23.0,3768.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
9.0,20.0,07b25a978540d6aa50b1574f7641d443,40.68683208,-73.9796772,3 Ave & Schermerhorn St,2022-12-05T01:39:35.312000Z,1.0,True,1670204062.0,"['creditcard', 'key']",True,1.0,1.0,35.0,298.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
5.0,27.0,88c0b3f44427945e77e67491110d3405,40.71406667,-73.99293911,Pike St & E Broadway,2022-12-05T01:39:35.315000Z,8.0,True,1670203899.0,"['creditcard', 'key']",True,1.0,1.0,34.0,295.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
36.0,50.0,50e28014a9b46fa320fd816c6af4a49e,40.73020660529954,-73.99102628231049,Lafayette St & E 8 St,2022-12-05T01:39:35.316000Z,6.0,True,1670204182.0,"['creditcard', 'key']",True,1.0,1.0,91.0,293.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2.0,18.0,d8bf2f87cc329894c610360558e9220d,40.70539,-73.92976,Knickerbocker Ave & Thames St,2022-12-05T01:39:35.319000Z,2.0,True,1670198258.0,"['creditcard', 'key']",True,1.0,1.0,20.0,3773.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
9.0,10.0,cf98029721ab6d5a1ccf65cee9cebd1b,40.713811,-73.93515,Devoe St & Morgan Ave,2022-12-05T01:39:35.320000Z,1.0,True,1670204079.0,"['creditcard', 'key']",True,1.0,1.0,19.0,3772.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
3.0,27.0,d2ccf83ad960756b6f73c0b6acddb11c,40.706237,-73.933871,McKibbin St & Bogart St,2022-12-05T01:39:35.321000Z,1.0,True,1670201854.0,"['creditcard', 'key']",True,1.0,1.0,30.0,3771.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
5.0,16.0,010f92292461543f36314829cb02afac,40.702831,-73.9333,Central Ave & Flushing Ave,2022-12-05T01:39:35.321000Z,1.0,True,1670198477.0,"['creditcard', 'key']",True,1.0,1.0,21.0,3770.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
18.0,5.0,2923dae1f9c925711be47f55c0180aa3,40.700003,-73.92834,Central Ave & Starr Street,2022-12-05T01:39:35.323000Z,4.0,True,1670204085.0,"['creditcard', 'key']",True,1.0,1.0,23.0,3776.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
5.0,17.0,d0602c69b366b808ecc3936c206e04bb,40.704425,-73.92836,Knickerbocker Ave & George St,2022-12-05T01:39:35.325000Z,0.0,True,1670204260.0,"['creditcard', 'key']",True,1.0,1.0,23.0,3774.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
23.0,2.0,5b7746fc518ac94da102c0672b9e3184,40.7027,-73.92095,Irving Ave & DeKalb Ave,2022-12-05T01:39:35.327000Z,2.0,True,1670203169.0,"['creditcard', 'key']",True,1.0,1.0,27.0,3778.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
11.0,16.0,d840fae588435ad6c219db0d4c252447,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,2022-12-05T01:39:35.329000Z,0.0,True,1670203521.0,"['creditcard', 'key']",True,1.0,1.0,28.0,270.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
40.0,19.0,6e43cd37a571f8a9bff43fcea0b6d295,40.76500525,-73.95818491,1 Ave & E 68 St,2022-12-05T01:39:36.601000Z,1.0,True,1670204018.0,"['creditcard', 'key']",True,1.0,1.0,62.0,3141.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
